,business_id ,categories,city,is_open,latitude,longitude,postal_code,pricerange,review_count,stars,state
1103,Ez1U0wMD7Wws2BPAYfW3yQ,"['Restaurants', 'Tapas Bars']",Champaign,0,40.116715,-88.240606,61820,2,64,3.5,IL
1184,wCoAzScVWpL9bsDsyf1EIQ,"['Fast Food', 'Burgers', 'Restaurants']",Urbana,1,40.1182287,-88.2044098,61803,1,6,2.0,IL
1437,_zviKOPGw65MAnNjzFXSug,"['Restaurants', 'Steakhouses']",Champaign,0,40.1374723,-88.2586063,61821,0,3,3.0,IL
1449,VHskIuH12SlaguUA83XmYA,"['Restaurants', 'Food', 'Fast Food']",Urbana,1,40.0974422,-88.190285,61802,1,5,2.0,IL
1508,QWY6JqB49pgPJIKIw2TJqg,"['Restaurants', 'Buffets']",Tuscola,0,39.7862354,-88.268223,61953,2,16,2.5,IL
1519,X57f6FWZiwI1wOidPPhOrQ,"['Restaurants', 'Mexican']",Champaign,1,40.1298862,-88.2584824,61820,1,170,4.0,IL
1522,HbK6IfznbVToEaKVC0WcSg,"['American (Traditional)', 'Restaurants', 'Karaoke', 'Nightlife', 'Tapas Bars']",Champaign,1,40.1150169,-88.2461385,61820,1,16,4.5,IL
1775,J03fJlz-pi9x2oqxZ4vRng,"['Mexican', 'Tex-Mex', 'Nightlife', 'Bars', 'Restaurants']",Champaign,0,40.137405,-88.245935,61820,2,15,3.0,IL
1776,e9shtyZ7-9GYcbPIVV--XQ,"['Latin American', 'Restaurants', 'Mexican', 'American (New)']",Champaign,0,40.1212439,-88.2428344,61820,2,150,4.0,IL
1820,UPCTlq-r-yZcWFFH2qOlWg,"['Restaurants', 'Asian Fusion']",Champaign,0,40.139173,-88.244581,61820,2,8,4.0,IL
1826,ZyOgY-z9sHdHp8_FDoQAJg,"['Restaurants', 'American (Traditional)', 'Beer Bar', 'Bars', 'Salad', 'Sports Bars', 'Nightlife', 'Soup', 'Burgers']",Champaign,1,40.0922834,-88.245524,61820,2,72,3.0,IL
1980,AtcNNpbD5MeJj6J4MXpz5w,"['Nightlife', 'Bars', 'American (New)', 'Restaurants']",Monticello,1,40.0251258,-88.5730326,61856,2,29,4.0,IL
2013,LyGab6ITDEMDI5E0YcC0Ng,"['Restaurants', 'Indian', 'Nightlife', 'Bars']",Champaign,1,40.1185125,-88.2449947,61820,2,20,4.0,IL
2140,tjflM9icU-y6xqNntOXtOQ,"['Food', 'Grocery', 'Restaurants', 'International Grocery', 'Ethnic Food', 'Specialty Food', 'American (New)']",Champaign,1,40.115755,-88.232332,61820,1,29,3.5,IL
2167,lrrUyxzlvqp-niBEj6_6dg,"['Greek', 'Restaurants']",Urbana,1,40.1161404,-88.2216747,61801,1,45,3.5,IL
2168,PzRgohlnHNN0C0Len1At0Q,"['Caterers', 'Mexican', 'Event Planning & Services', 'Restaurants', 'Fast Food']",Urbana,1,40.1094444773,-88.2272046804,61801,1,9,3.5,IL
2239,KkpX5EdixY0C5gUq8BcmCA,['Restaurants'],Camargo,1,39.7916937,-88.1899938,61919,0,3,5.0,IL
2390,Z71v81M8PWDsKhi9znwX7A,"['Nightlife', 'Bars', 'Restaurants', 'Barbeque']",Mahomet,1,40.19449,-88.400274,61853,0,3,4.5,IL
2395,RQxLNvAra_MUUPHdhukilA,"['Nightlife', 'Restaurants', 'Bars', 'American (New)']",Champaign,1,40.0938755447,-88.2377565934,61820,2,80,3.0,IL
2457,8BUVhDF9yLzzthhFxeceYA,"['Restaurants', 'Delis']",Champaign,0,40.1127011,-88.2407279,61820,0,3,4.5,IL
2458,RTmIbq33chUSa-etGiF8Lg,"['Indian', 'Pakistani', 'Restaurants']",Champaign,0,40.114132,-88.238369,61820,2,57,3.5,IL
2716,Icj9QzQxqvzOmPm_liAq1Q,"['Hotels', 'Party & Event Planning', 'Venues & Event Spaces', 'Restaurants', 'Caterers', 'Active Life', 'Event Planning & Services', 'American (New)', 'Recreation Centers', 'Hotels & Travel']",Champaign,1,40.0991265,-88.2462073,61820,2,33,3.5,IL
2766,DDm_333l9fHzlv7yfuF5dQ,"['Sandwiches', 'Fast Food', 'American (New)', 'Restaurants']",Champaign,1,40.0846950551,-88.2462913487,61820,1,3,2.5,IL
2830,RnGG5bAz4nTPo_Ui99Kzbg,"['Cafes', 'American (New)', 'Breakfast & Brunch', 'Restaurants']",Champaign,1,40.0872123679,-88.2480189793,61820,2,99,3.5,IL
2998,-LfTBo0oa_uD454ScEW2XA,"['Sandwiches', 'Restaurants', 'Diners', 'American (Traditional)']",Champaign,1,40.1181331448,-88.242899908,61820,1,43,3.5,IL
3058,pFvyOYi1O5umrbzGVYSYKg,"['Restaurants', 'Florists', 'Shopping', 'Gift Shops', 'Salad', 'Food', 'Specialty Food', 'Juice Bars & Smoothies', 'Chocolatiers & Shops', 'Flowers & Gifts']",Champaign,1,40.1373077478,-88.2400815226,61820,3,3,5.0,IL
3133,6GJ9K4HadzMBZG4WY_P9bw,"['Restaurants', 'Barbeque']",Champaign,0,40.083446,-88.297332,61822,2,23,3.5,IL
3207,9XMOJYI0jh6cycrZK9Js4g,"['Burgers', 'American (Traditional)', 'Restaurants']",Champaign,1,40.1423318,-88.2429304,61820,0,6,2.5,IL
3301,MA5R-mV6ljRM1MK6Mdiv5g,"['Financial Services', 'Banks & Credit Unions', 'Fast Food', 'Restaurants', 'Chinese']",Champaign,1,40.1427776,-88.243865,61820,1,7,3.5,IL
3584,1KGLQ6Sxji5jqsQnsC6fdQ,"['Italian', 'Restaurants', 'Pizza']",Champaign,0,40.081896,-88.295835,61822,2,9,3.0,IL
3648,gUTz4Y3GIPq8zq1Mi-kHzw,"['Restaurants', 'Chicken Wings', 'Fast Food']",Savoy,1,40.0712,-88.2487,61874,1,9,2.0,IL
3740,xX2uM2EIeR03KrGBCrOrcA,"['Mexican', 'Restaurants']",Champaign,0,40.1104696,-88.2331177,61820,1,8,4.0,IL
3791,e88VWa9xdHmSFdMZne9eLQ,"['Chinese', 'Restaurants']",Champaign,1,40.1100319,-88.2330779,61820,1,55,3.5,IL
3792,-fiUXzkxRfbHY9TKWwuptw,"['Breweries', 'American (New)', 'Gluten-Free', 'Breakfast & Brunch', 'Restaurants', 'Food']",Champaign,1,40.1189773,-88.2442721,61820,2,449,4.0,IL
3893,vt2NMSbKpVN0r0HI6Az4bw,"['Cafes', 'American (New)', 'Restaurants']",Urbana,1,40.1047765,-88.2246853,61801,1,24,4.5,IL
3941,5bTjUBhGbild5tuzfAmIJg,"['Restaurants', 'Diners', 'Breakfast & Brunch', 'Comfort Food', 'American (Traditional)']",Champaign,1,40.1432615061,-88.2547938824,61822,1,36,2.0,IL
4001,tx_0mIXEr4TPucSYyfA2eg,"['Fast Food', 'Restaurants', 'Japanese']",Champaign,0,40.110821,-88.229156,61820,1,6,2.5,IL
4182,daNKquKlJrBZ8CIG9jxnVA,"['Mexican', 'Restaurants']",Mahomet,0,40.195742,-88.397754,61853,1,5,4.0,IL
4297,WNaPTdGUMiBZpA5MFMZ4-A,"['Diners', 'Restaurants', 'Breakfast & Brunch', 'American (Traditional)']",Mahomet,1,40.1953569,-88.4258636,61853,1,17,3.5,IL
4306,5-Z7VmiTqD4ycnrxfBJGmQ,"['Sandwiches', 'Restaurants', 'Italian', 'Pizza']",Saint Joseph,1,40.118587,-88.041453,61873,3,4,2.0,IL
4399,zTGxLMOd9crAz0XNzqrcrA,"['Restaurants', 'Chinese']",Champaign,1,40.110554,-88.232373,61820,1,47,3.5,IL
4599,ZMcbVIEXsLO7j1Q1GXKPSw,"['Restaurants', 'Korean']",Champaign,1,40.1111783,-88.2288831,61820,1,43,3.5,IL
4639,sKToYrrPP4VWzpIy94pLgg,"['Restaurants', 'Fast Food', 'American (Traditional)']",Mahomet,1,40.1956974,-88.3998825,61853,1,6,4.0,IL
4645,gnqHyA6gY2-m9S-FKt6Xqw,"['Chinese', 'Asian Fusion', 'Restaurants', 'Malaysian']",Champaign,1,40.1112203703,-88.2290604075,61820,1,144,4.0,IL
4889,WDTzX_C2CbAwxBbqm-od6g,"['Bars', 'Arts & Entertainment', 'Nightlife', 'Pubs', 'Restaurants', 'Music Venues']",Champaign,1,40.1175498,-88.2431341,61820,2,46,3.0,IL
4894,zp3rZNu-5qonTL3ByPYOUg,"['Restaurants', 'Sandwiches']",Champaign,1,40.1092381,-88.2315641,61820,1,81,3.5,IL
5064,v_xTE55R62m7riTP7nWgAA,"['Tex-Mex', 'Mexican', 'Restaurants', 'Fast Food']",Rantoul,1,40.30798092,-88.1778450041,61866,1,8,1.0,IL
5076,C31ExBTn_6UxbTVkWPtNkg,"['Restaurants', 'Sushi Bars', 'Japanese']",Champaign,0,40.0987255,-88.2470903,61820,2,97,3.5,IL
5087,w5YH9J_ReVTKXobqs7yYZg,"['Restaurants', 'Sandwiches', 'Fast Food']",Savoy,1,40.0703348,-88.249746,61874,0,5,1.5,IL
5097,abA0s0uxoeOn7zNm-1dDxw,"['Cafes', 'Sandwiches', 'Restaurants', 'Italian', 'Pizza']",Champaign,1,40.1101105,-88.2292247,61820,1,78,3.0,IL
5396,6OpLHgun6qHmrX1JmHL4zQ,"['Italian', 'Restaurants', 'Pizza']",Rantoul,1,40.3081995,-88.155194,61866,2,10,3.5,IL
5719,O3zVw-VAcJi8ta4B6v5iAA,"['Food', 'American (Traditional)', 'Delis', 'Nightlife', 'Specialty Food', 'Restaurants', 'Beer', 'Wine & Spirits', 'Wine Bars', 'Cheese Shops', 'Sandwiches', 'Bars']",Champaign,1,40.0831838,-88.264391,61821,2,85,4.0,IL
5982,Cw0JNNdPja9CVyT6ugGMdw,"['Restaurants', 'Vietnamese', 'Thai']",Savoy,0,40.0704268,-88.251563,61874,2,18,4.0,IL
6011,tQaIWc9qeiB1IU163LKlAw,"['Chinese', 'Fast Food', 'Restaurants']",Champaign,1,40.1105984,-88.2290979,61820,2,13,3.0,IL
6066,9pQsVUScSzreqYLU7p5oaQ,"['Fast Food', 'American (New)', 'Restaurants']",Monticello,1,40.0272571,-88.5730373,61856,1,6,3.0,IL
6255,cFp-Kr831uIA3F6o5aeV2Q,"['Restaurants', 'Burgers']",Champaign,0,40.1102406,-88.2290836,61820,2,12,2.0,IL
6256,hMgIF04rrJ7oB1lGIpFt5w,"['Chinese', 'Restaurants']",Champaign,1,40.112114,-88.241292,61820,2,35,3.5,IL
6261,RwMlwusAtxZc5a3ZYduulg,"['American (New)', 'Restaurants', 'Sandwiches', 'Cheesesteaks']",Champaign,0,40.1107888,-88.2306384,61820,2,15,3.0,IL
6526,wgImSrYc5LOcFaMcbOuxkg,"['Restaurants', 'Sandwiches', 'Chicken Wings', 'Pizza']",Champaign,1,40.0972527,-88.2768244,61821,1,9,4.0,IL
6536,ZGIkQIh3KTLM1yOCNpvU5Q,"['Restaurants', 'Diners', 'Juice Bars & Smoothies', 'Fast Food', 'Burgers', 'Breakfast & Brunch', 'American (New)', 'Food']",Champaign,1,40.1404213,-88.2573123,61822,1,38,2.0,IL
6630,ckdGk8ForF9zEczmu4-tTA,"['Organic Stores', 'Cafes', 'Vitamins & Supplements', 'Bakeries', 'Health Markets', 'Restaurants', 'Grocery', 'Specialty Food', 'Food', 'Shopping', 'Coffee & Tea']",Urbana,1,40.1126128,-88.2113898,61801,2,19,3.0,IL
6631,DUQxjfbYLtg5lhAJ1K94Hw,"['Salad', 'Pizza', 'Restaurants', 'Lounges', 'Cocktail Bars', 'Nightlife', 'Bars']",Urbana,1,40.1112368,-88.2071833,61801,0,3,4.5,IL
6685,L4WXLHf2p_qoLgiPwzTSgA,['Restaurants'],Rantoul,1,40.3069842,-88.1562185,61866,2,7,2.0,IL
6759,epvLkQNL6MOvk3s6JlTntA,"['Creperies', 'French', 'Restaurants']",Champaign,0,40.119807,-88.2438559,61820,2,45,3.5,IL
6836,fbQjAy7MTR8hdt4Gg2H_dA,"['Juice Bars & Smoothies', 'Desserts', 'Coffee & Tea', 'Bubble Tea', 'Restaurants', 'Food', 'Cafes']",Champaign,0,40.1105683,-88.2325823,61820,1,18,3.5,IL
6851,k6m3Msok7bto6biv5guEzg,"['Mexican', 'Restaurants']",Champaign,1,40.0918386724,-88.245879896,61821,1,10,2.5,IL
7075,NEVA0IYbawceL6kz5v5DAw,"['Asian Fusion', 'Sushi Bars', 'Restaurants']",Champaign,1,40.1185666238,-88.2432330386,61820,2,237,3.5,IL
7077,t_yiQnxUDdPPCN2z4QyezA,"['Chinese', 'Taiwanese', 'Restaurants']",Champaign,1,40.1111456,-88.2441689,61820,2,337,4.5,IL
7308,a3hjBPsnpcTpcquQXLeS0w,"['Pizza', 'Food', 'Italian', 'Restaurants', 'Food Trucks']",Champaign,1,40.1164204,-88.2433829,,1,30,4.5,IL
7332,8pqANktAdy7crnxSLWRaYw,"['Restaurants', 'American (Traditional)']",Monticello,1,40.0247314519,-88.5726846514,61856,1,11,4.0,IL
7341,Sp32-I-Ej0CBVJvFCghyPw,"['Grocery', 'Restaurants', 'Specialty Food', 'Food Court', 'International Grocery', 'Food']",Champaign,1,40.1111367,-88.2443171,61820,1,9,4.5,IL
7391,b8zjLuBTk3SfqcNEMJUnDA,"['Restaurants', 'American (New)', 'Music Venues', 'Arts & Entertainment', 'American (Traditional)', 'Nightlife', 'Bars']",Champaign,0,40.110967,-88.242733,61820,1,3,2.5,IL
7478,iLxG2Oo8HNSZFvJvba4W6g,"['Restaurants', 'Mexican']",Champaign,1,40.1070836,-88.2438972,61820,1,82,3.0,IL
7608,TEXUVhF-G_v2Sxwqti8HQA,"['Restaurants', 'Pizza', 'Nightlife', 'American (Traditional)', 'Beer Bar', 'Salad', 'Bars']",Champaign,1,40.139794,-88.243786,61820,2,56,3.0,IL
7621,0FrYsoVHheQGoXEQsH2d2Q,"['Cafes', 'Restaurants', 'Coffee & Tea', 'Food']",Champaign,1,40.1170558,-88.2432469,61820,1,120,4.0,IL
7623,CKqHfvcqx73-Uz0xGMHL6Q,"['Fast Food', 'American (New)', 'Restaurants', 'Chicken Wings']",Champaign,1,40.1099627,-88.2351409,61820,2,30,3.0,IL
7624,kyXEnWKQGWSThY6EcjORuw,"['Restaurants', 'Mediterranean', 'Greek', 'Salad']",Champaign,1,40.110085,-88.229304,61820,1,101,4.0,IL
7735,PSxi7pis1yJpFfM-grdNXA,"['Mexican', 'Imported Food', 'Specialty Food', 'Tex-Mex', 'Food', 'Restaurants', 'Ethnic Food']",Rantoul,1,40.3060382272,-88.1557162551,61866,1,13,3.5,IL
7803,Lx7e54TaIPtxW5aZ6Ze38A,"['Restaurants', 'Mexican']",Rantoul,1,40.3117922,-88.1254802,61866,2,10,2.5,IL
7883,Hx-um-V0sTHjMZX0UcW0kA,"['Burgers', 'American (Traditional)', 'Food', 'Ice Cream & Frozen Yogurt', 'Restaurants', 'Fast Food']",Mahomet,1,40.1916275024,-88.4017791748,61853,1,7,1.0,IL
7937,lZ0W0-pQyS35ahsrZezNiw,"['Specialty Food', 'Food', 'Restaurants', 'Health Markets', 'Thai']",Champaign,1,40.0867848496,-88.2479522377,61820,2,8,5.0,IL
7938,5r-kh_n_ivSmkrfGMtbtog,"['Food', 'Restaurants', 'Ice Cream & Frozen Yogurt']",Champaign,1,40.1104641,-88.2439326,61820,3,7,2.0,IL
8036,hP2DOm7E2H4P7MOS7XN_SQ,"['Nightlife', 'Steakhouses', 'Bars', 'Food', 'Beer', 'Wine & Spirits', 'Restaurants', 'Seafood']",Champaign,1,40.117491,-88.243875,61820,3,87,3.0,IL
8075,N9bjF5E2ms6fSWEMmvt39w,"['American (Traditional)', 'Burgers', 'Diners', 'Sandwiches', 'Restaurants']",Champaign,0,40.1111456,-88.2441689,61820,1,6,2.0,IL
8105,hH7qhup_bGKr9r27RpHJPw,"['Mexican', 'Fast Food', 'Restaurants', 'Tex-Mex']",Tuscola,1,39.7920124089,-88.2695026327,61953,0,6,2.0,IL
8115,YERn2kltXVj9936i6T4Q8w,"['Fast Food', 'Fish & Chips', 'Chicken Wings', 'Restaurants']",Champaign,1,40.1269433,-88.2386034,61820,1,33,4.0,IL
8256,boIILzBqhjWhq4G0BsB5_A,"['Desserts', 'Japanese', 'Bars', 'Lounges', 'Food', 'Asian Fusion', 'American (New)', 'Restaurants', 'Nightlife', 'Sushi Bars', 'Cocktail Bars']",Champaign,1,40.118357,-88.243984,61820,3,126,4.0,IL
8575,U7T6ioQJ17YPh_LG6xDTWA,"['Salad', 'Fast Food', 'Restaurants', 'Sandwiches']",Champaign,1,40.1105073,-88.2314522,61820,1,12,3.5,IL
8673,E4t43bnsfeOY2bv_8IPmSw,"['Restaurants', 'Pizza']",Champaign,0,40.116061,-88.231376,61820,1,12,2.0,IL
8790,Q8kTugdx8Iw5AzRzz6qd8w,"['Food Trucks', 'Restaurants', 'Barbeque', 'Street Vendors', 'Food']",Champaign,1,40.113786,-88.243041,61820,2,7,4.5,IL
8906,EKQiKd7EMZjsa4JokFaeAg,"['Restaurants', 'Chinese']",Champaign,1,40.0878338,-88.2481135,61820,1,14,4.0,IL
8979,D6SCh4BwNb52wZIqXdS4JQ,"['Bars', 'Pizza', 'Nightlife', 'Beer', 'Wine & Spirits', 'Pool Halls', 'American (Traditional)', 'Lounges', 'Restaurants', 'Food']",Champaign,1,40.116597,-88.242292,61820,1,104,4.0,IL
8999,wBQRhH9fEqME-sPU5sUlaw,"['Southern', 'Restaurants']",Champaign,0,40.1092117,-88.23147,61820,1,5,4.0,IL
9063,LiQkLzRdJit4RkoNWA4HzQ,"['American (New)', 'Sandwiches', 'Restaurants']",Tuscola,1,39.7921366,-88.2713235,61953,0,3,3.5,IL
9163,2BEJCBkNzOBXaydBJf5k0A,"['Restaurants', 'Fast Food']",Champaign,1,40.1213626,-88.2775335,61821,1,14,3.0,IL
9164,DysXlYb_WVlksoip8atIvQ,"['Fast Food', 'Burgers', 'Restaurants']",Champaign,1,40.1334973279,-88.2594957952,61821,1,10,1.0,IL
9296,bsrqpg0zJZG4NMhA0W28LQ,"['Cafes', 'Coffee & Tea', 'Restaurants', 'Food']",Champaign,1,40.083399,-88.296606,61822,1,13,4.5,IL
9530,F1qPjasn0R6-j8sa6iYNmA,"['Bars', 'Nightlife', 'Restaurants', 'American (Traditional)']",Champaign,1,40.1178627014,-88.2433013916,61820,2,97,3.0,IL
9663,4Vig7oCo9P-j2OnPUfaXCA,"['Pizza', 'Restaurants']",Urbana,1,40.098023,-88.192765,61801,1,5,2.0,IL
9680,wfO1xdAeJMb_miGDU19W-w,"['French', 'Cafes', 'Restaurants']",Champaign,0,40.119807,-88.2438559,61820,2,17,3.5,IL
9756,mXjdBZNTF9pj-A9SKVihEw,"['Restaurants', 'Chinese', 'Buffets']",Tuscola,1,39.7916293,-88.2858974,61953,2,9,3.5,IL
10307,VIJ2KiDKhUVhhpNylEIfog,"['Restaurants', 'Mexican']",Champaign,1,40.1104086,-88.2389546,61820,1,448,4.5,IL
10512,h2vFVV5pJjn8arA7GR6mQg,"['Restaurants', 'Sandwiches', 'Pizza']",Champaign,0,40.0831911396,-88.2639685902,61822,1,14,3.0,IL
10603,kKCwp86xU9XKRnAALQDhrw,"['Vegetarian', 'Restaurants', 'Cafes', 'Vegan']",Urbana,1,40.106704,-88.225188,61801,1,56,4.5,IL
10621,oD1PPb-TfMIkkg77u1zCAw,"['Wraps', 'Restaurants', 'Salad']",Champaign,1,40.1111668574,-88.2305980101,61820,1,6,5.0,IL
10678,zUayeEQ3_1fM_71X_1PdGQ,"['Restaurants', 'Thai']",Champaign,0,40.0818267,-88.2963454,61822,2,29,3.5,IL
10881,Z2W3K8x9cRGXvlGWerZH-w,"['Hot Dogs', 'Burgers', 'Restaurants']",Champaign,0,40.1102889,-88.2324709,61820,1,19,3.0,IL
10924,g_oOjzFgqmSEAD4crxBirA,"['Caterers', 'Delis', 'Event Planning & Services', 'Sandwiches', 'Food Delivery Services', 'Restaurants', 'Pizza', 'Food']",Champaign,1,40.1321258,-88.2587494,61821,1,10,2.5,IL
10939,x792tXM8gIf6-nU2IiiAEQ,"['Burgers', 'Restaurants']",Champaign,0,40.1377293292,-88.2586995927,61822,2,23,3.0,IL
10963,DO9Wp7zXwc2ZNEb8cXaqbg,"['Gluten-Free', 'Pizza', 'Restaurants']",Champaign,0,40.083276,-88.264031,61821,1,24,4.0,IL
11043,Bfh_ON-LQUcJerjcDF5KNA,"['Restaurants', 'Chinese']",Champaign,1,40.1378171,-88.260388,61822,1,19,4.0,IL
11177,0QgFIP9W0eGZSxCSQRQSCg,"['Fast Food', 'Sandwiches', 'Restaurants']",Urbana,1,40.1065482,-88.2217353,61801,0,5,2.5,IL
11233,th4pZ5LkoIIkb1Vmu_m2DA,"['Burgers', 'Restaurants']",Champaign,1,40.101522,-88.24448,61820,2,138,4.0,IL
11380,3TBouLwX21Ic5cJNlAl7Eg,"['Restaurants', 'Pizza']",Champaign,0,40.110827,-88.231612,61820,1,13,3.0,IL
11433,Q6sAy86CCQZy_qwZZpvOnQ,"['Fast Food', 'American (Traditional)', 'Sandwiches', 'Restaurants']",Mahomet,1,40.196361,-88.399269,61853,0,4,2.5,IL
11441,yE4k_CM9L0yPVVozyELfSQ,"['Restaurants', 'Comfort Food', 'Noodles', 'Asian Fusion', 'Italian']",Champaign,1,40.1105017,-88.2306324,61820,1,43,3.0,IL
11443,XuByFsXXhnKmZ6hxucOj7A,"['Restaurants', 'Mongolian']",Champaign,1,40.118742,-88.2443626,61820,2,60,3.5,IL
11646,2e5Q-0Pr23NFEhgpYG8cFw,"['Hot Dogs', 'Breakfast & Brunch', 'Burgers', 'Desserts', 'Food', 'Restaurants']",Urbana,0,40.1097387,-88.2273147,61801,1,10,2.5,IL
11993,FUTAQs8NEgpiQUXISaXfLg,"['Burgers', 'Fast Food', 'Restaurants']",Savoy,1,40.0706497611,-88.2489681244,61874,1,7,2.0,IL
12002,9V4AGrJphOIw2RC1UoPPRw,"['Restaurants', 'Barbeque', 'Caribbean', 'Vegan', 'Vegetarian']",Champaign,1,40.0880009,-88.2462198,61820,1,27,5.0,IL
12003,WTu8B3igPYJlkJ2gHzrBYw,"['Korean', 'Restaurants', 'Asian Fusion', 'Sushi Bars', 'Japanese']",Champaign,1,40.1076853,-88.2436688,61820,2,31,4.5,IL
12153,edT-m7jYpYxnJWmCzlt1sg,"['Food', 'Restaurants', 'Beer', 'Wine & Spirits', 'Bars', 'American (Traditional)', 'Nightlife']",Mansfield,1,40.2116835515,-88.5055622855,61854,1,3,4.5,IL
12168,5uvf3QpmrdU2aiqmF4278A,"['Restaurants', 'American (Traditional)', 'Salad', 'Breakfast & Brunch']",Champaign,1,40.1375355954,-88.2444405556,61820,1,30,3.0,IL
12212,UTrqsP-oQrwoIOmBv_Jtzg,"['Restaurants', 'Diners']",Urbana,1,40.1068411,-88.2218579,61801,1,42,3.5,IL
12229,pH72Y8aqqJlq3bgtj-d3UA,"['Restaurants', 'Italian']",Urbana,0,40.1112419,-88.2072116,61801,2,27,3.0,IL
12315,9HP13JaP9nmN3qX5v0jamw,"['Restaurants', 'American (Traditional)', 'Burgers', 'Sandwiches']",Champaign,0,40.1437944,-88.2583963,61822,2,32,3.0,IL
12423,RYClIlSwSPpaptR8tOF0AQ,"['Barbeque', 'Restaurants']",Urbana,0,40.1123076506,-88.2083105296,61801,2,27,3.0,IL
12429,7hGEamzVvFq2b9eYUZpAxw,"['Restaurants', 'Burgers', 'Fast Food']",Tuscola,1,39.7916103,-88.2729904,61953,1,3,3.5,IL
12482,QayRAyqw0tvQR27rqLxPFQ,"['Nightlife', 'Bars', 'Restaurants', 'Whiskey Bars', 'Hot Dogs']",Champaign,0,40.121049763,-88.2828940451,61821,2,4,5.0,IL
12499,Wn8QXr2VdAR9J4JPsrlfgg,"['American (Traditional)', 'Restaurants']",Gifford,0,40.3068808596,-88.0213274062,61847,2,4,3.0,IL
13046,mGRJtc9CEpj2YfI6AbWE6A,"['Restaurants', 'Italian']",Tuscola,0,39.7916323,-88.2875773,61953,2,6,3.0,IL
13112,1DedueD53YsKcpqMWPIe9w,"['Restaurants', 'Nightlife', 'Breakfast & Brunch', 'Mexican', 'Bars', 'Sports Bars']",Champaign,0,40.083446,-88.297332,61822,2,24,3.5,IL
13120,Xoahafjr-Hz9zLrodYvDBA,"['Restaurants', 'Hot Dogs', 'Burgers']",Rantoul,1,40.3086275,-88.1734946,61866,1,10,1.5,IL
13204,RwHE2Rt-DHlwWuxFLjPbgA,"['Mexican', 'Restaurants']",Urbana,0,40.1166989,-88.223116,61801,1,26,3.5,IL
13266,AW_d5hMf7sI6yHrz4Ujv8w,"['Mexican', 'Chicken Wings', 'Nightlife', 'Cocktail Bars', 'Restaurants', 'New Mexican Cuisine', 'Bars']",Monticello,1,40.0088287873,-88.5763521865,61856,1,3,4.5,IL
13332,eNeBda4br3HMg15-_jwokA,"['Mexican', 'Restaurants']",Saint Joseph,1,40.1112277,-88.0414944,61873,1,16,3.5,IL
13407,RTiw2W5hTvzAmI0iaWvb0A,"['American (Traditional)', 'Restaurants']",Rantoul,1,40.3092932,-88.1448833,61866,1,9,3.0,IL
13481,o13eH93qmWVNFZogkjhd9w,"['Cafes', 'Ice Cream & Frozen Yogurt', 'Food', 'Breakfast & Brunch', 'American (Traditional)', 'Restaurants']",Urbana,1,40.1128225269,-88.2090229914,61801,1,303,4.0,IL
13529,ZxQlHVm0pj0ERqpwhEHc6w,"['Restaurants', 'Korean']",Champaign,1,40.0818615,-88.2963452,61822,2,43,4.5,IL
